Column Name,Description
jacuzzi1,Jacuzzi bathtub or hot tub eGauge data present.
kitchen1,"Kitchen circuit eGauge data present. This type of circuit includes only lights, fans, and wall outlets."
kitchen2,"Additional kitchen circuit eGauge data present. This type of circuit includes only lights, fans, and wall outlets."
kitchenapp1,"First kitchen small appliance circuit eGauge data present. This type of circuit includes only wall outlets in the kitchen, and so may include toasters, coffee makers, blenders, etc."
kitchenapp2,"Second kitchen small appliance circuit eGauge data present. This type of circuit includes only wall outlets in the kitchen, and so may include toasters, coffee makers, blenders, etc."
lights_plugs1,"General lighting and plugs circuit eGauge data present. This type of circuit includes lights, fans, and wall outlets, often from multiple rooms in the home."
lights_plugs2,"Second general lighting and plugs circuit eGauge data present. This type of circuit includes lights, fans, and wall outlets, often from multiple rooms in the home."
lights_plugs3,"Third general lighting and plugs circuit eGauge data present. This type of circuit includes lights, fans, and wall outlets, often from multiple rooms in the home."
lights_plugs4,"Fourth general lighting and plugs circuit eGauge data present. This type of circuit includes lights, fans, and wall outlets, often from multiple rooms in the home."
lights_plugs5,"Fifth general lighting and plugs circuit eGauge data present. This type of circuit includes lights, fans, and wall outlets, often from multiple rooms in the home."
lights_plugs6,"Sixth lighting and plugs circuit eGauge data present. This type of circuit includes lights, fans, and wall outlets, often from multiple rooms in the home."
livingroom1,"Living room circuit eGauge data present. This type of circuit includes only lights, fans, and wall outlets."
livingroom2,"Additional living room circuit eGauge data present. This type of circuit includes only lights, fans, and wall outlets."
microwave1,Microwave circuit eGauge data present.
office1,"Home office circuit eGauge data present. This type of circuit includes only lights, fans, and wall outlets. Computers may be common devices plugged into included any wall outlets included on this type of circuit."
outsidelights_plugs1,Exterior lighting and plugs circuit eGauge data present.
outsidelights_plugs2,Additional exterior lighting and plugs circuit eGauge data present.
oven1,Oven circuit eGauge data present.
oven2,Second oven circuit eGauge data present.
pool1,Combination pool pump and/or pool auxiliary power circuit eGauge data present.
poollight1,Pool lighting circuit eGauge data present.
poolpump1,Pool pump circuit eGauge data present.
pump1,"eGauge data present for any type of pump that is not a pool pump. Not used to pump wells, sewers, or pools."
range1,Range (either a stand-alone cooktop or a cooktop and an oven) circuit eGauge data present.
refrigerator1,Refrigerator circuit eGauge data present.
refrigerator2,Second refrigerator circuit eGauge data present.
security1,Security system circuit eGauge data present.
sewerpump1,eGauge data present for a dedicated circuit monitoring sewer pump. If the house is not connected to city service it is a sewer pump for pumping into a septic tank.
shed1,Shed circuit eGauge data present.
solar,eGauge data present for power generated by a solar photovoltaic system.
solar2,eGauge data present for power generated by second solar photovoltaic system.
sprinkler1,Sprinkler system circuit eGauge data present.
sumppump1,"eGauge data present for a pump used to remove water that has accumulated in a water-collecting sump basin, commonly found in the basement of homes."
utilityroom1,Utility room circuit eGauge data present.
venthood1,Vent hood circuit eGauge data present.
waterheater1,Electric water heater eGauge data present.
waterheater2,Second electric water heater eGauge data present.
wellpump1,eGauge data present for water pump to pump water out of water well.
winecooler1,Wine cooler circuit eGauge data present.
leg1v,Voltage measured at phase A.
leg2v,Voltage measured at phase B.
subpanel1,"A secondary or satellite circuit breaker panel in a home typically serving smaller loads such as outlets and lighting, or smaller single phase appliances."
subpanel2,"A secondary or satellite circuit breaker panel in a home typically serving smaller loads such as outlets and lighting, or smaller single phase appliances."
energy_storage_system,"A battery based energy storage system, measured as a single balanced 240V load. Typically used in grid support only, not for backup purposes."
energy_storage_system_l1,"A battery based energy storage system, measured as a split-phase load. Can be used as grid support or backup purposes."
energy_storage_system_l2,"A battery based energy storage system, measured as a split-phase load. Can be used as grid support or backup purposes."
